BUS ID,STOP ID,REQUEST ID,REQUEST TYPE,TIME OF ARRIVAL
0,6,2,RPD,223
0,337,7,RPD,319
0,918,8,RPD,533
0,1,2,RPD,636
0,1,0,PRD,636
0,1,3,PRD,636
0,4,0,PRD,1148
0,280,6,RPD,1424
0,280,11,RPD,1424
0,7,3,PRD,1564
1,1,14,PRD,1601
0,2,6,RPD,1777
0,2,10,PRD,1777
0,1982,16,RPD,2100
0,5,1,RPD,2510
1,1983,17,RPD,2623
0,1231,9,RPRD,2725
1,1386,13,RPD,2734
0,8,4,RPD,2788
1,1979,14,PRD,2819
0,1385,12,RPD,2933
0,1380,10,PRD,2987
1,2,17,RPD,2998
1,2,13,RPD,2998
0,1232,9,RPRD,3070
0,3,7,RPD,3098
0,3,8,RPD,3098
0,3,11,RPD,3098
0,3,16,RPD,3098
0,3,1,RPD,3098
0,3,4,RPD,3098
0,3,12,RPD,3098
1,1985,19,RPD,3288
1,1984,18,RPD,3570
1,1981,15,PRD,3839
1,1998,31,RPD,4019
1,3,19,RPD,4160
1,3,18,RPD,4160
1,3,31,RPD,4160
